Player Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,
Zaheer Abbas ,0,0,0,0,88,224,247,257,348,496,633,862,1539,2033,2374,2572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Syed Abid Ali ,0,0,0,0,23,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jimmy Adams ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,275,489,692,905,1038,0,638,990,1166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jonathan Agnew ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ijaz Ahmed ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,389,837,1146,1594,1677,1750,0,476,641,1922,3026,3825,4412,4814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mushtaq Ahmed ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,82,98,180,200,203,263,300,332,343,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Shafiq Ahmed ,0,0,0,0,0,0,0,38,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Shakeel Ahmed ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Tausif Ahmed ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,45,51,55,65,104,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Younis Ahmed ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mansoor Akhtar ,0,0,0,0,0,0,0,0,0,0,24,38,208,217,398,0,0,132,0,31,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Wasim Akram ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,79,279,349,494,776,842,1116,1403,1553,1746,2084,2230,2508,2868,3256,3359,3646,3717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Intikhab Alam ,0,0,0,10,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Terry Alderman ,0,0,0,0,0,0,0,0,0,0,0,10,12,0,7,15,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ashraf Ali ,0,0,0,0,0,0,0,0,0,0,0,30,33,0,17,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Basit Ali ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471,1051,1225,1265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Liaqat Ali ,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Paul Allott ,0,0,0,0,0,0,0,0,0,0,0,0,5,13,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Saleem Altaf ,0,0,0,21,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kaushik Amalean ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mohinder Amarnath ,0,0,0,0,0,1,30,0,85,101,0,0,71,539,545,609,918,951,1535,1793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Surinder Amarnath ,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Curtly Ambrose ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,124,125,228,322,361,371,392,456,523,540,624,639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Dennis Amiss ,0,0,168,302,322,615,708,859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Praveen Amre ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,374,494,513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Robert Anderson ,0,0,0,0,0,0,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jo Angel ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Naved Anjum ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,27,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Salil Ankola ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,7,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Sangarange Anurasiri ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,22,27,41,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Saeed Anwar ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,773,774,780,1504,2350,2540,4135,5021,5852,6764,7638,8349,8606,8824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Taslim Arif ,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Geoffrey Arnold ,0,0,11,28,30,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kevin Arnott ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,94,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Keith Arthurton ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,230,230,400,697,1158,1476,1650,1652,0,119,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bharathi Arun ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Marvan Atapattu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,35,0,0,0,84,963,1707,2494,3436,4520,5712,6524,7253,7751,8343,8486,0,0,0,0,0,0,0,0,0,0,0,0,
Michael Atherton ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,335,0,0,466,733,1137,1392,1456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Charles Athey ,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,142,761,765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Richard Austin ,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Arshad Ayub ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,76,110,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kirtivardhan Azad ,0,0,0,0,0,0,0,0,0,0,34,126,0,56,112,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mohammad Azharuddin ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444,972,1489,1970,2252,2774,3003,3655,4424,5113,5399,6330,7434,8702,9110,9378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Sheik Bacchus ,0,0,0,0,0,0,0,0,0,0,157,232,377,612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Robert Bailey ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,11,54,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
David Bairstow ,0,0,0,0,0,0,0,0,0,56,155,176,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Sikander Bakht ,0,0,0,0,0,0,0,0,16,19,0,3,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Subroto Banerjee ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Eldine Baptiste ,0,0,0,0,0,0,0,0,0,0,0,0,0,5,111,119,0,14,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Wasim Bari ,0,0,0,21,0,3,5,7,38,64,0,4,22,103,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Graham Barlow ,0,0,0,0,0,0,80,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kim Barnett ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bishen Bedi ,0,0,0,0,0,6,10,0,2,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kenneth Benjamin ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,51,54,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Winston Benjamin ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,73,85,118,0,10,72,110,127,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Murray Bennett ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mark Benson ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Carlisle Best ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,33,82,203,400,405,473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Martin Bicknell ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Roger Binny ,0,0,0,0,0,0,0,0,0,0,49,192,233,406,521,552,629,629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ian Bishop ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,49,73,148,182,223,0,35,116,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Tony Blain ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,178,0,0,0,0,114,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Richard Blakey ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Stephen Boock ,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
David Boon ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,303,1071,1727,2309,2636,3053,3379,4177,4594,5667,5964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Allan Border ,0,0,0,0,0,0,0,0,0,200,419,873,1219,1647,2085,2915,3510,4152,4364,4897,5437,5766,5978,6199,6524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Sir Ian Botham ,0,0,0,0,0,0,21,53,133,278,434,593,781,1056,1147,1248,1299,1693,0,37,0,8,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Keith Boyce ,0,0,0,7,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Geoff Boycott ,0,8,82,117,0,0,0,0,9,502,852,965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Brendon Bracewell ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
John Bracewell ,0,0,0,0,0,0,0,0,0,0,0,0,0,41,73,120,246,308,469,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Grant Bradburn ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,19,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
David Brain ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,85,103,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Eddo Brandes ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,73,156,161,166,199,229,309,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mike Brearley ,0,0,0,0,0,0,0,147,206,476,510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Gavin Briant ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Raymond Bright ,0,0,0,0,0,0,0,17,0,20,25,43,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Chris Broad ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1047,1361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Vaughan Brown ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mark Burgess ,0,0,0,48,54,0,38,0,1,46,154,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mark Burmester ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alan Butcher ,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Roland Butcher ,0,0,0,0,0,0,0,0,0,0,52,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Andy Caddick ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23,0,0,12,0,0,42,110,150,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Lance Cairns ,0,0,0,0,30,40,95,0,83,100,213,283,318,653,745,892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
